"","BusinessTravel","Department","State","MaritalStatus","Attrition","OverTime","EducationField_Grouped","Ethnicity_Grouped","Gender_Grouped","JobRole_Grouped","Education","StockOptionLevel","EnvironmentSatisfaction","JobSatisfaction","RelationshipSatisfaction","WorkLifeBalance","ManagerRating","Age","DistanceFromHome..KM.","Salary","YearsSinceLastPromotion","TrainingOpportunitiesWithinYear","TrainingOpportunitiesTaken"
"315","No Travel ","Technology","CA","Married","No","No","STEM","White","Male","AI/ML","3","3","3","4","4","5","3",21,42,57118,3,1,3
"316","Some Travel","Sales","CA","Divorced","No","Yes","Business","Mixed/Other","Female","Sales","4","2","4","3","3","3","2",25,30,57742,4,2,2
"317","Some Travel","Technology","CA","Married","No","No","Other","Mixed/Other","Male","Management","3","1","4","3","2","3","2",32,15,393294,2,1,1
"318","Some Travel","Sales","CA","Married","No","No","Business","White","Female","Management","4","0","4","4","2","4","2",43,12,513262,3,2,3
"319","Some Travel","Human Resources","CA","Single","Yes","No","STEM","White","Female","HR","2","0","3","4","3","5","2",29,29,49606,1,1,2
"320","Some Travel","Technology","NY","Married","No","Yes","STEM","White","Male","Software Engineer","3","2","1","3","2","4","2",23,44,81034,1,2,1
"321","Some Travel","Sales","NY","Married","No","No","Business","White","Female","Sales","3","1","5","5","5","5","3",29,8,163950,3,1,1
"322","No Travel ","Technology","CA","Married","No","No","STEM","Mixed/Other","Male","Software Engineer","1","1","5","4","5","3","2",34,25,238630,3,1,0
"323","Frequent Traveller","Technology","NY","Married","No","No","STEM","White","Male","Management","4","2","3","2","4","5","3",40,2,260835,2,3,2
"324","Some Travel","Technology","CA","Divorced","No","No","Business","White","Female","Management","4","1","3","3","4","5","3",48,9,517695,2,1,0
"325","Some Travel","Technology","CA","Single","No","No","STEM","Asian","Female","Software Engineer","1","0","4","5","5","3","2",32,39,68256,9,2,1
"326","Frequent Traveller","Technology","NY","Divorced","No","Yes","STEM","Mixed/Other","Female","AI/ML","4","0","3","4","1","4","3",26,28,79324,3,2,1
"327","Frequent Traveller","Sales","NY","Married","No","No","Business","White","Female","Sales","1","1","4","2","2","2","3",23,26,44646,2,3,0
"328","Frequent Traveller","Sales","CA","Divorced","Yes","No","Business","Mixed/Other","Male","Sales","2","1","2","4","3","4","3",30,40,44632,0,2,0
"329","Some Travel","Sales","NY","Single","No","No","Business","Black","Female","Sales","3","0","3","2","5","4","3",26,29,28024,7,3,1
"330","Some Travel","Sales","CA","Married","No","No","Business","Mixed/Other","Male","Sales","2","2","1","3","1","4","4",25,44,75635,2,2,1
"331","Some Travel","Technology","IL","Single","No","No","STEM","Mixed/Other","Male","AI/ML","3","0","3","2","3","3","2",37,29,155506,8,1,2
"332","Some Travel","Technology","IL","Divorced","No","No","STEM","Mixed/Other","Male","Software Engineer","3","1","5","5","2","3","3",22,11,74314,1,1,1
"333","Some Travel","Technology","IL","Divorced","No","Yes","Other","Black","Male","AI/ML","1","1","1","2","3","4","3",23,1,47648,4,3,0
"334","Some Travel","Technology","CA","Married","No","No","STEM","White","Male","AI/ML","1","1","4","5","2","2","5",30,7,70182,9,3,3
"335","Some Travel","Sales","CA","Married","Yes","No","STEM","Black","Male","Sales","3","1","4","4","2","3","5",26,45,20650,0,3,0
"336","Some Travel","Technology","CA","Single","Yes","No","STEM","Black","Male","Software Engineer","4","0","1","4","1","4","3",21,34,61758,0,3,0
"337","Some Travel","Sales","CA","Married","Yes","No","Business","White","Female","Sales","3","3","3","4","4","4","2",28,13,207479,0,1,2
"338","Some Travel","Technology","NY","Married","No","Yes","STEM","White","Female","Software Engineer","1","0","2","3","3","4","3",45,20,90264,4,3,0
"339","Some Travel","Technology","CA","Married","Yes","No","STEM","Mixed/Other","Other","Software Engineer","2","1","5","5","4","5","5",29,25,145716,1,3,1
"340","Some Travel","Sales","NY","Single","No","No","Business","Mixed/Other","Female","Sales","1","0","5","4","4","5","4",42,36,43753,1,1,0
"341","Some Travel","Sales","NY","Married","No","No","Business","Mixed/Other","Male","Sales","2","1","4","3","4","5","3",28,24,78735,2,2,3
"342","Some Travel","Technology","CA","Married","No","No","Business","Mixed/Other","Female","Management","3","1","4","5","5","5","5",26,22,206137,1,3,1
"343","Some Travel","Technology","CA","Married","No","No","STEM","Mixed/Other","Male","Management","4","0","3","5","4","3","5",30,36,328415,10,2,2
"344","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","3","0","4","3","4","2","3",47,32,243869,1,1,2
"345","Frequent Traveller","Technology","CA","Single","No","No","STEM","Mixed/Other","Male","Software Engineer","4","0","3","3","2","2","3",27,16,75275,5,1,0
"346","Frequent Traveller","Sales","IL","Married","No","No","Business","Asian","Male","Sales","3","0","5","5","5","2","3",34,40,140097,8,3,0
"347","Some Travel","Technology","CA","Married","No","No","STEM","Mixed/Other","Male","Management","5","1","4","5","2","4","3",26,28,246505,3,2,1
"348","Some Travel","Technology","IL","Married","No","No","STEM","White","Other","Management","3","0","1","4","3","3","3",39,12,293132,10,2,2
"349","Frequent Traveller","Technology","CA","Married","No","No","STEM","White","Other","Software Engineer","1","0","4","2","5","4","4",43,37,199718,2,1,1
"350","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","Software Engineer","2","1","3","5","5","2","4",26,31,56187,2,2,1
"351","Some Travel","Technology","CA","Single","No","No","STEM","Mixed/Other","Male","Management","3","0","3","4","2","3","3",46,39,381759,4,1,1
"352","Some Travel","Sales","IL","Married","No","Yes","Business","White","Female","Sales","4","0","5","5","4","3","3",23,40,52039,1,2,0
"353","Some Travel","Technology","IL","Single","No","No","Other","White","Female","Software Engineer","3","0","3","2","3","3","3",48,45,207456,6,3,1
"354","Some Travel","Technology","IL","Married","Yes","Yes","STEM","White","Female","AI/ML","2","0","3","5","2","3","2",21,15,62882,0,3,1
"355","Some Travel","Technology","CA","Single","No","Yes","STEM","White","Female","AI/ML","4","2","4","1","4","3","5",19,44,42900,1,3,1
"356","No Travel ","Sales","CA","Divorced","No","No","Business","Black","Male","Management","3","1","3","4","2","3","3",24,6,135407,4,3,0
"357","No Travel ","Technology","NY","Single","No","No","STEM","White","Other","Software Engineer","2","0","5","4","2","2","4",22,32,38358,2,3,0
"358","Frequent Traveller","Technology","CA","Single","No","Yes","STEM","Asian","Other","Software Engineer","4","0","1","4","2","4","4",39,8,137427,10,3,2
"359","Some Travel","Technology","NY","Divorced","No","No","Business","Mixed/Other","Male","Software Engineer","4","3","4","2","2","5","4",41,28,184411,5,3,0
"360","Frequent Traveller","Sales","NY","Married","No","No","Business","Black","Male","Sales","3","1","3","3","3","4","3",45,1,70487,7,2,1
"361","No Travel ","Human Resources","IL","Married","No","No","Business","White","Female","HR","5","1","3","4","2","5","2",28,4,152909,3,1,1
"362","Some Travel","Technology","CA","Married","Yes","Yes","STEM","Black","Male","AI/ML","4","2","4","5","5","3","5",26,6,89771,0,2,1
"363","Some Travel","Technology","CA","Married","No","No","STEM","White","Male","Management","3","0","1","1","3","2","3",35,26,311475,0,2,1
"364","Some Travel","Sales","CA","Divorced","Yes","No","Business","White","Female","Sales","4","0","4","5","5","3","5",32,29,68043,1,2,0
"365","Some Travel","Technology","NY","Married","No","No","STEM","White","Male","Software Engineer","3","1","3","3","4","3","4",21,5,25060,1,1,0
"366","Frequent Traveller","Technology","NY","Divorced","Yes","Yes","STEM","White","Male","Software Engineer","3","0","3","2","2","3","5",23,10,44566,0,2,2
"367","Some Travel","Technology","CA","Married","No","No","STEM","White","Male","Software Engineer","3","1","3","5","5","4","3",24,18,29722,3,3,2
"368","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","Management","5","0","3","4","4","4","2",43,35,286660,0,1,0
"369","Some Travel","Technology","CA","Divorced","No","Yes","STEM","White","Female","AI/ML","3","1","4","5","4","4","3",24,30,94318,6,2,0
"370","Frequent Traveller","Technology","CA","Single","No","Yes","Business","White","Other","Software Engineer","1","0","4","2","3","2","4",39,4,87879,8,3,2
"371","Some Travel","Technology","CA","Single","No","No","STEM","Black","Male","Management","4","0","5","4","5","3","4",33,4,335261,5,1,1
"372","Some Travel","Sales","CA","Divorced","No","Yes","Business","White","Female","Sales","2","3","5","2","4","4","4",24,43,54841,4,3,0
"373","Some Travel","Technology","CA","Married","Yes","Yes","STEM","White","Female","Software Engineer","1","0","4","4","3","5","3",21,38,63049,0,3,1
"374","No Travel ","Technology","CA","Single","No","No","STEM","Black","Female","AI/ML","3","0","3","4","3","5","4",25,11,96779,0,3,1
"375","Frequent Traveller","Technology","NY","Single","Yes","Yes","STEM","Black","Male","Software Engineer","2","0","3","3","4","3","3",24,34,28484,1,3,0
"376","Some Travel","Sales","CA","Divorced","No","No","Business","White","Male","Sales","2","1","3","2","2","4","4",43,39,176705,7,3,0
"377","Some Travel","Technology","CA","Single","No","No","STEM","White","Male","AI/ML","2","0","5","3","2","5","5",21,43,71698,3,2,2
"378","Frequent Traveller","Sales","NY","Single","No","No","Business","White","Male","Sales","2","0","2","2","4","4","5",21,42,46750,0,2,0
"379","Some Travel","Human Resources","CA","Married","Yes","No","HR","Mixed/Other","Female","HR","1","1","4","4","3","5","5",25,14,22150,1,2,0
"380","Some Travel","Sales","CA","Single","No","No","Business","Asian","Male","Sales","3","0","3","2","4","5","3",34,19,46740,6,3,0
"381","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Female","AI/ML","4","3","5","2","2","3","5",23,32,47294,2,1,1
"382","Some Travel","Human Resources","CA","Single","No","No","Business","Asian","Male","HR","2","0","3","5","2","4","3",28,34,94534,3,2,1
"383","Some Travel","Sales","IL","Married","No","No","Business","White","Male","Sales","3","1","3","4","5","2","2",46,38,325452,4,1,0
"384","Some Travel","Technology","CA","Married","No","Yes","STEM","White","Other","Software Engineer","1","1","5","2","5","5","2",26,16,54746,4,3,2
"385","Some Travel","Technology","NY","Single","No","Yes","STEM","White","Male","Software Engineer","3","0","4","2","5","5","5",24,24,28156,6,2,0
"386","Some Travel","Sales","IL","Single","Yes","Yes","Business","Black","Female","Sales","3","0","3","4","5","3","5",25,11,53930,3,1,2
"387","Frequent Traveller","Sales","NY","Divorced","No","Yes","Business","Mixed/Other","Other","Sales","3","2","1","2","1","3","2",48,9,288450,6,3,2
"388","Frequent Traveller","Sales","NY","Divorced","No","No","Business","White","Female","Sales","3","1","3","4","4","4","4",21,33,60810,1,2,3
"389","Some Travel","Sales","CA","Divorced","No","No","Business","White","Male","Sales","4","1","5","4","5","2","2",24,9,110542,3,1,2
"390","Some Travel","Sales","CA","Married","No","Yes","Business","Black","Female","Sales","4","3","3","5","4","5","5",42,20,241646,1,2,0
"391","No Travel ","Technology","NY","Married","No","No","STEM","Black","Female","Management","3","1","5","4","2","3","2",32,12,316725,10,1,3
"392","No Travel ","Technology","CA","Divorced","No","Yes","STEM","Asian","Female","Software Engineer","4","1","3","1","4","1","3",24,26,77358,0,1,1
"393","Some Travel","Technology","CA","Married","Yes","Yes","STEM","Black","Female","Software Engineer","4","3","5","3","4","5","2",22,31,75738,2,1,2
"394","Some Travel","Technology","CA","Divorced","No","Yes","STEM","White","Female","Management","4","2","3","5","4","4","4",38,10,445906,1,2,1
"395","Some Travel","Sales","CA","Single","Yes","Yes","Business","White","Male","Management","3","0","5","5","5","2","3",29,44,377203,4,2,1
"396","Some Travel","Technology","CA","Single","No","No","STEM","Mixed/Other","Female","AI/ML","3","0","5","3","3","4","3",25,10,23198,3,2,3
"397","Frequent Traveller","Technology","CA","Divorced","Yes","No","STEM","Mixed/Other","Male","AI/ML","3","2","5","3","3","4","2",26,45,108865,0,1,0
"398","No Travel ","Sales","NY","Married","No","No","Business","White","Female","Sales","2","1","5","5","2","4","3",31,7,186215,1,2,1
"399","Some Travel","Technology","NY","Single","Yes","No","STEM","Black","Other","Software Engineer","3","0","5","4","3","5","4",29,24,41307,0,2,2
"400","Some Travel","Sales","CA","Married","Yes","No","Business","White","Other","Sales","3","1","4","2","2","2","4",46,17,223874,0,2,0
"401","Some Travel","Technology","CA","Married","No","No","STEM","Asian","Male","AI/ML","4","1","4","3","5","4","4",30,14,194823,9,2,2
"402","Some Travel","Technology","NY","Single","Yes","Yes","STEM","Asian","Female","Software Engineer","4","0","4","4","5","3","4",28,9,43578,5,1,1
"403","Some Travel","Technology","CA","Married","Yes","Yes","STEM","Mixed/Other","Male","AI/ML","1","0","2","4","3","2","4",30,4,42045,3,3,0
"404","Some Travel","Sales","NY","Single","No","No","Business","Asian","Male","Sales","3","0","5","3","3","3","3",44,27,101906,4,3,1
"405","Frequent Traveller","Technology","CA","Divorced","Yes","Yes","STEM","Mixed/Other","Male","Software Engineer","4","1","5","3","2","4","2",30,13,40321,0,3,1
"406","No Travel ","Technology","CA","Divorced","No","No","STEM","White","Female","AI/ML","2","1","4","3","5","5","2",48,40,92884,9,3,1
"407","Frequent Traveller","Technology","CA","Single","Yes","No","STEM","White","Male","AI/ML","2","0","3","2","3","3","3",21,16,42569,0,1,0
"408","Some Travel","Sales","NY","Divorced","No","No","Business","Mixed/Other","Male","Sales","4","1","3","3","4","1","4",28,43,157549,0,2,0
"409","Some Travel","Technology","CA","Single","No","No","STEM","White","Male","Software Engineer","3","0","3","3","4","5","4",24,11,57054,4,2,1
"410","Some Travel","Sales","NY","Single","No","No","Business","Asian","Male","Sales","4","0","5","5","4","4","3",26,41,61238,6,3,0
"411","No Travel ","Technology","NY","Married","No","No","STEM","White","Male","AI/ML","1","0","5","5","5","4","5",43,14,76331,4,2,3
"412","Some Travel","Technology","CA","Single","Yes","Yes","STEM","White","Female","AI/ML","1","0","5","2","4","5","3",27,30,49374,0,2,3
"413","No Travel ","Technology","NY","Married","No","No","STEM","White","Male","Software Engineer","2","1","3","5","4","2","4",28,44,218406,10,2,1
"414","Frequent Traveller","Technology","NY","Single","Yes","No","STEM","Mixed/Other","Female","AI/ML","2","0","5","4","3","5","3",31,4,69747,5,1,2
"415","No Travel ","Sales","NY","Married","No","No","Business","White","Female","Sales","2","1","5","3","3","3","3",41,34,109747,9,2,1
"416","Some Travel","Technology","CA","Married","No","Yes","Business","White","Male","Software Engineer","3","1","3","3","2","4","2",24,9,33443,3,3,1
"417","Some Travel","Sales","CA","Married","No","No","STEM","Asian","Female","Sales","3","1","3","4","2","4","2",41,42,142853,8,1,0
"418","Frequent Traveller","Human Resources","NY","Married","No","No","HR","White","Other","HR","4","0","1","3","2","1","3",23,34,75948,0,3,0
"419","Some Travel","Technology","CA","Married","No","Yes","STEM","White","Female","AI/ML","4","1","4","2","2","4","3",26,36,22162,5,3,2
"420","No Travel ","Technology","CA","Divorced","No","No","Other","Asian","Male","AI/ML","2","1","5","2","5","3","2",43,15,76826,9,2,1
"421","Some Travel","Sales","NY","Single","No","No","Business","White","Female","Sales","3","0","5","3","3","3","3",23,26,67718,2,3,2
"422","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","3","0","5","2","4","5","4",42,13,293303,0,1,1
"423","Some Travel","Technology","NY","Married","No","Yes","STEM","Black","Female","AI/ML","3","1","5","2","2","4","3",26,7,34047,4,2,2
"424","No Travel ","Sales","CA","Single","No","No","Business","Mixed/Other","Male","Sales","4","0","5","3","2","2","4",24,2,64277,4,1,0
"425","Some Travel","Technology","CA","Single","No","No","STEM","Mixed/Other","Female","Software Engineer","1","0","3","3","3","4","2",25,23,42656,4,2,0
"426","Some Travel","Human Resources","IL","Divorced","No","No","HR","Black","Female","HR","4","3","4","3","4","2","2",36,31,509940,4,3,0
"427","No Travel ","Sales","IL","Single","No","No","Business","White","Other","Sales","2","0","4","5","3","5","3",26,18,65194,4,3,0
"428","No Travel ","Technology","IL","Married","No","No","STEM","White","Female","AI/ML","3","1","4","3","5","5","4",30,3,47338,9,1,2
"429","Some Travel","Sales","CA","Divorced","No","No","Business","Asian","Female","Management","4","3","4","4","1","2","4",27,4,255718,5,1,3
"430","Some Travel","Technology","CA","Married","No","Yes","Other","White","Other","Software Engineer","4","0","5","4","2","2","3",33,15,108095,9,2,2
"431","Some Travel","Sales","CA","Married","No","No","Business","White","Male","Sales","3","1","3","4","2","3","4",28,42,128192,1,2,1
"432","No Travel ","Technology","CA","Single","No","No","STEM","Asian","Other","Management","3","0","5","2","4","4","4",35,27,542695,5,1,1
"433","Some Travel","Technology","CA","Divorced","No","No","STEM","Asian","Female","Management","1","2","3","2","4","4","2",25,43,190198,2,2,3
"434","Some Travel","Sales","CA","Married","No","No","Business","White","Male","Sales","4","1","4","2","2","5","5",22,41,22778,2,1,1
"435","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Male","AI/ML","2","2","4","2","3","4","4",21,23,56541,1,3,1
"436","Some Travel","Technology","NY","Single","No","No","STEM","White","Other","Management","3","0","3","2","5","2","4",27,37,130012,6,3,1
"437","Some Travel","Technology","CA","Divorced","No","No","STEM","Black","Female","Software Engineer","1","2","3","4","3","4","3",30,26,159438,4,1,1
"438","Some Travel","Technology","NY","Single","No","Yes","Business","Black","Male","Software Engineer","2","0","3","4","4","3","4",25,24,175342,4,1,1
"439","Some Travel","Technology","NY","Single","No","No","STEM","Black","Male","Software Engineer","1","0","4","3","2","3","5",40,9,58551,7,1,0
"440","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Male","Software Engineer","4","1","4","4","2","3","4",38,40,126505,5,2,1
"441","Some Travel","Sales","NY","Married","No","No","Business","White","Female","Sales","3","1","3","4","5","4","3",37,19,230381,3,1,2
"442","Some Travel","Technology","NY","Married","No","No","STEM","Mixed/Other","Other","Software Engineer","1","2","3","2","2","4","2",48,26,42008,7,1,0
"443","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","Software Engineer","3","1","4","4","5","4","2",24,11,65486,4,2,1
"444","Some Travel","Technology","IL","Divorced","Yes","Yes","STEM","White","Male","AI/ML","3","1","4","3","3","2","5",26,2,30207,3,2,0
"445","Some Travel","Technology","CA","Single","No","No","STEM","Black","Female","Software Engineer","1","0","2","3","4","3","3",43,31,98693,8,3,1
"446","No Travel ","Technology","CA","Single","Yes","Yes","STEM","White","Male","Software Engineer","3","0","5","3","4","2","4",19,9,29798,0,1,1
"447","Frequent Traveller","Human Resources","CA","Married","No","No","Business","White","Female","HR","3","2","5","5","5","3","4",47,3,85744,9,1,2
"448","Frequent Traveller","Technology","CA","Married","No","Yes","STEM","White","Female","Software Engineer","2","1","3","4","4","4","3",26,17,59981,5,2,2
"449","Frequent Traveller","Sales","CA","Single","Yes","Yes","Business","Mixed/Other","Female","Sales","3","0","5","5","4","2","2",27,43,24583,1,1,0
"450","Some Travel","Sales","CA","Single","Yes","No","Business","White","Male","Sales","3","0","3","5","2","2","4",26,24,85982,1,3,0
"451","Some Travel","Human Resources","CA","Single","No","No","Business","White","Female","HR","4","0","4","2","5","4","4",28,14,149734,1,3,2
"452","Frequent Traveller","Sales","CA","Married","No","No","Business","White","Female","Sales","4","3","3","2","2","2","3",43,40,86038,3,2,0
"453","Some Travel","Sales","CA","Married","No","No","Business","Black","Male","Sales","3","1","5","5","5","4","5",26,39,104176,3,2,1
"454","Some Travel","Technology","CA","Divorced","No","No","STEM","Mixed/Other","Male","Management","4","2","3","3","2","5","3",26,35,292386,2,2,1
"455","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","AI/ML","2","1","5","3","2","3","3",23,16,56946,4,2,0
"456","Frequent Traveller","Technology","NY","Married","No","No","Business","White","Male","Software Engineer","4","3","3","4","5","3","5",25,40,67200,2,1,0
"457","No Travel ","Technology","CA","Divorced","No","No","Other","Asian","Female","AI/ML","4","2","4","2","3","2","5",36,28,77136,10,3,3
"458","Some Travel","Sales","CA","Married","No","No","Business","White","Male","Management","2","1","3","3","2","3","2",35,30,360384,2,3,1
"459","Some Travel","Technology","NY","Single","No","No","STEM","White","Male","Software Engineer","2","0","3","4","2","4","2",37,22,45927,6,3,2
"460","Some Travel","Sales","CA","Married","Yes","No","Business","Asian","Female","Sales","4","0","4","2","2","2","2",24,43,144335,0,3,0
"461","Frequent Traveller","Technology","CA","Married","No","Yes","STEM","White","Male","Software Engineer","3","3","5","3","5","5","4",20,28,29835,0,1,1
"462","Some Travel","Technology","CA","Married","No","No","STEM","Black","Female","Management","2","1","3","2","5","2","4",25,16,184441,6,1,1
"463","Some Travel","Technology","IL","Married","No","No","STEM","Black","Female","Management","3","1","3","4","2","3","4",42,21,316208,8,2,1
"464","Frequent Traveller","Technology","NY","Married","No","No","STEM","Black","Male","AI/ML","4","2","4","3","5","5","5",37,15,53929,7,3,1
"465","Some Travel","Technology","CA","Single","No","Yes","STEM","White","Female","AI/ML","1","0","3","3","2","3","2",34,5,127432,9,2,2
"466","Some Travel","Technology","NY","Married","No","No","Business","White","Female","Software Engineer","4","0","4","4","3","5","4",32,31,186169,6,1,1
"467","Frequent Traveller","Technology","CA","Single","No","Yes","STEM","Mixed/Other","Female","Software Engineer","4","0","4","5","4","3","3",25,5,67151,5,1,0
"468","Frequent Traveller","Technology","IL","Divorced","Yes","No","STEM","White","Male","AI/ML","3","2","3","2","4","3","3",24,7,104649,4,2,2
"469","Some Travel","Technology","CA","Divorced","No","No","STEM","Mixed/Other","Male","Software Engineer","2","1","3","3","2","3","5",27,1,90487,4,1,1
"470","Some Travel","Technology","CA","Married","No","Yes","Other","Mixed/Other","Male","Software Engineer","4","1","5","3","2","3","3",23,6,87483,2,2,0
"471","Some Travel","Technology","CA","Married","No","Yes","STEM","White","Female","AI/ML","4","1","4","4","3","2","3",30,38,88609,4,2,1
"472","Some Travel","Sales","NY","Married","No","Yes","Business","White","Female","Sales","1","0","3","3","4","2","4",24,41,73498,2,2,1
"473","Frequent Traveller","Technology","CA","Married","No","Yes","STEM","White","Female","Management","4","0","4","2","3","3","3",48,15,309371,1,2,3
"474","No Travel ","Technology","NY","Divorced","No","Yes","STEM","White","Male","AI/ML","4","2","5","2","4","4","2",28,24,193347,4,3,1
"475","Some Travel","Technology","CA","Single","No","No","Other","White","Other","Software Engineer","4","0","4","5","4","4","5",26,16,60834,0,3,0
"476","No Travel ","Technology","IL","Married","No","No","STEM","Mixed/Other","Other","AI/ML","4","0","4","3","3","2","3",28,45,87762,7,1,1
"477","Frequent Traveller","Technology","CA","Single","No","Yes","STEM","White","Female","Management","2","0","5","5","5","2","4",38,44,293425,4,1,1
"478","Some Travel","Technology","NY","Single","Yes","No","Business","White","Female","Software Engineer","4","0","4","3","5","5","2",20,26,37094,0,1,1
"479","Some Travel","Technology","CA","Married","Yes","Yes","STEM","White","Male","Management","1","0","4","4","3","5","3",28,27,277344,1,2,1
"480","Some Travel","Technology","NY","Divorced","No","No","STEM","White","Female","Software Engineer","3","2","3","1","2","3","2",23,20,85006,3,2,1
"481","Frequent Traveller","Sales","CA","Divorced","No","No","Business","White","Male","Sales","2","1","3","4","3","5","3",30,25,135919,6,2,2
"482","Some Travel","Technology","IL","Married","No","No","STEM","Mixed/Other","Female","Software Engineer","1","1","4","5","2","4","3",43,18,49882,8,1,1
"483","No Travel ","Technology","CA","Married","No","No","Business","Mixed/Other","Other","Software Engineer","4","1","5","2","5","4","3",27,36,50046,6,3,2
"484","Frequent Traveller","Technology","CA","Single","Yes","Yes","STEM","White","Female","Software Engineer","3","0","5","3","4","2","4",18,8,31894,0,2,1
"485","No Travel ","Technology","CA","Single","No","No","STEM","White","Other","AI/ML","4","0","4","4","3","3","4",25,29,105411,4,1,0
"486","Some Travel","Sales","NY","Single","Yes","Yes","Business","Black","Male","Sales","3","0","4","1","2","2","4",29,20,149688,2,2,0
"487","No Travel ","Technology","CA","Single","No","No","STEM","White","Male","Software Engineer","4","1","3","4","3","1","2",39,30,152771,1,1,0
"488","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","3","0","1","2","3","2","3",30,26,96170,9,2,1
"489","Some Travel","Technology","NY","Single","No","No","Business","White","Female","AI/ML","2","0","5","5","4","3","2",20,24,38138,2,1,0
"490","Some Travel","Technology","CA","Married","No","No","STEM","White","Male","Management","3","0","3","5","2","3","3",25,2,217544,6,1,3
"491","Some Travel","Technology","CA","Married","No","No","STEM","Black","Other","Software Engineer","4","2","4","2","2","3","2",24,7,44256,4,1,2
"492","Some Travel","Technology","CA","Divorced","No","No","Business","White","Other","Software Engineer","3","1","4","5","4","4","3",24,1,35199,0,3,2
"493","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","3","0","3","4","2","2","5",23,40,23632,2,2,2
"494","Some Travel","Human Resources","CA","Married","No","Yes","HR","Mixed/Other","Female","HR","4","1","4","3","3","2","4",26,5,315071,7,3,1
"495","No Travel ","Technology","NY","Single","Yes","No","Business","Black","Female","Software Engineer","2","0","4","3","5","2","4",27,19,89785,0,1,3
"496","Frequent Traveller","Technology","CA","Single","No","No","STEM","White","Male","Software Engineer","4","0","1","3","4","1","2",23,35,51906,1,1,2
"497","Frequent Traveller","Technology","NY","Single","Yes","Yes","STEM","White","Male","Software Engineer","4","1","1","2","4","1","4",25,39,26545,0,3,2
"498","Some Travel","Technology","CA","Single","Yes","Yes","STEM","Mixed/Other","Male","Software Engineer","1","0","5","4","3","5","4",25,8,30931,0,2,1
"499","Frequent Traveller","Sales","NY","Single","Yes","Yes","Business","White","Male","Sales","1","0","4","5","4","4","3",23,41,26508,0,2,0
"500","Some Travel","Technology","NY","Married","No","No","STEM","Black","Other","AI/ML","2","2","5","2","4","4","3",46,36,102964,10,1,0
"501","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","Software Engineer","2","0","4","4","3","3","3",22,4,73653,3,3,2
"502","Some Travel","Technology","CA","Divorced","No","Yes","STEM","White","Male","Software Engineer","2","2","4","4","5","5","3",44,31,81297,8,3,0
"503","Some Travel","Technology","NY","Divorced","No","No","Business","Mixed/Other","Female","Software Engineer","3","1","5","2","5","4","2",25,12,52957,5,1,0
"504","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","AI/ML","3","0","5","5","3","5","3",25,34,37053,5,3,2
"505","Frequent Traveller","Human Resources","CA","Single","Yes","Yes","HR","White","Female","HR","3","3","5","4","5","3","2",39,16,201564,0,2,1
"506","Some Travel","Sales","CA","Married","No","Yes","Business","White","Female","Sales","1","3","3","3","3","2","5",25,3,58631,4,2,0
"507","Some Travel","Technology","CA","Divorced","No","No","STEM","White","Female","Management","3","2","3","3","2","5","5",43,35,436813,9,2,0
"508","Some Travel","Technology","CA","Single","No","No","STEM","White","Female","Software Engineer","4","0","5","4","3","5","3",22,36,31072,2,1,1
"509","Frequent Traveller","Technology","NY","Married","No","No","Business","Mixed/Other","Male","AI/ML","1","1","5","4","4","4","3",25,11,67708,7,3,1
"510","Some Travel","Human Resources","CA","Divorced","No","No","Other","Mixed/Other","Female","HR","2","0","4","2","5","2","5",27,24,55206,3,2,1
"511","Some Travel","Sales","CA","Single","No","No","Business","Black","Male","Sales","3","0","4","5","3","2","5",25,11,58914,1,2,3
"512","Some Travel","Technology","CA","Married","No","No","STEM","White","Female","Management","3","0","4","4","5","5","3",43,14,309141,6,3,0
"513","Some Travel","Technology","CA","Single","No","Yes","STEM","Black","Other","Management","3","0","3","4","3","5","4",37,28,368494,9,3,0
"514","No Travel ","Technology","CA","Married","No","No","STEM","Mixed/Other","Male","AI/ML","4","0","3","4","4","2","3",25,44,57765,3,1,1
"515","No Travel ","Technology","CA","Married","No","No","STEM","White","Male","Software Engineer","4","1","3","5","5","4","3",24,42,58717,2,3,0
"516","Some Travel","Technology","NY","Married","No","No","STEM","Black","Female","Software Engineer","3","1","3","5","3","5","4",24,20,52850,3,1,2
"517","Frequent Traveller","Technology","CA","Married","No","No","STEM","Black","Female","AI/ML","1","3","1","4","2","2","4",28,20,62016,6,1,0
"518","Frequent Traveller","Technology","CA","Divorced","No","No","STEM","White","Male","Software Engineer","1","1","5","5","3","5","4",25,24,121373,2,2,1
